song_name,region,info,song_content
A Bre Sülüman Aga,Kırklareli,Kırklareli-Faruk Yılmaz-TRT İstanbul,A Bre Sülüman Aga  Tut Çakal Beygiri  Uralım Yuları  Sıkalım Kolanı  A Bre Sülüman Aga  Boydalar Oldu Mi  Beni Evereyler  Haberin Oldu Mi  Sülüman Aganın Karısı  Sundurmadan Bakıyor Sülüman Aga Ona  Altı Patlar Atıyor
A Buğdeyim Buğdeyim,Kütahya,Kütahya/Domaniç-İbrahim Bilgili-Talip Özkan,A Buğdeyim Buğdeyim Sereyim Gurudeyim Senin (De) Dudu (Mudu Da) Dillerini (Amanın Da Sürmeli Fadime'm) Ben Nerede Unudeyim Keklik Sesi Var Kayalarda Keklik Sesi Var Söyleyin (De) Bende Nesi Var Söyleyin (De) Bende Nesi Var (Hey) Şu Güzelin (De) Bende Nesi Var Gel Yavrum Alaydım Seni De Seni Kollarıma Saraydım (Amanın Da) Yar Seni Senin Gibi Oyunbaz Cilvesine Doyulmaz Doyulmaz Aman Aman Buğdeyimi Biçeyim Soğuk Sular İçeyim Güzellerin (Aman Da) İçinde (A Yarim De Sürmeli Fadimem) Ben Yarimi Seçeyim Keklik Doleşir Kayalarda Keklik Doleşir Su Güzel (De) Kimlere Doleşir Su Güzel (De) Kimlere Doleşir (Vay) Su Güzel (De) Kimlere Doleşir Gel Yavrum Alaydım Seni De Seni Kollarıma Saraydım (Amanın Da) Yar Seni Senin Gibi Oyunbaz Cilvesine Doyulmaz Doyulmaz Aman Aman
A Güzel Dolan Da Gel,Erzurum,Erzurum-Muharrem Akkuş-Yücel Paşmakçı,A Güzel Dolan Da Gel Çevreni Saran Da Gel Ben Mayil Oldum Sana Yaramı Saran Da Gel  Gurbanam Gurbanam Gül Endama  İnci Diş Galem Gaş Mah Cemala Oy Beni Beni Beni Keşke Sevmeseydim Seni Ay Işığında Gelme Komşular Görer Seni  Gurbanam Gurbanam Gül Endama  İnci Diş Galem Gaş Mah Cemala
A Gız Senin Adın Dudu,Afyon,Afyon-Abdullah Uluçelik-Muzaffer Sarısözen,A Gız Seninde Adında Dudu  Kim Taradıda Kimler Yudu  O Da Güzellerin De Adı   Oğlan Men Men Men Men   Neden De Sen Yandım Ben   Ben Yanıyorum Aman   Men Men Mendili De  Yakmış Kandili De  Bulmuş Dengini De   Oğlan Men Men Men Men  Nedende Sen Yandım Ben  Ben Yanıyorum Aman  A Gız Senin De Adında Nazik  Ak Kollara Da Tak Bilezik  Sen Orada Da Aman Bize Yazık  Oğlan Men Men Men Men   Neden De Sen Yandım Ben   Ben Yanıyorum Aman   Men Men Mendili De  Yakmış Kandili De  Bulmuş Dengini De   Oğlan Men Men Men Men  Nedende Sen Yandım Ben  Ben Yanıyorum Aman
A Gızım Sana Potin Alayım Mı,Mersin,Mersin/Silifke-Folklor Ekibi-İstanbul Belediye Konservatuarı,A Gızım Sana Fotin Alayım Mı A Çocuk Sana  Sen Deli M'oldun A Ellerin Yari Aman Nerelerine De İşte Şuralarına A Gızım Sana Fistan Alayım Mı A Çocuk Sana  Sen Deli M'oldun A Ellerin Yari Aman Nerelerine De İşte Şuralarına A Gızım Sana Guşşağ Alayım Mı A Çocuk Sana  Sen Deli M'oldun A Ellerin Yari Aman Nerelerine De İşte Şuralarına A Gızım Sana Çember Alayım Mı A Çocuk Sana  Sen Deli M'oldun A Ellerin Yari Aman Nerelerine De İşte Şuralarına A Gızım Sana Gırep(Krep) Alayım Mı A Çocuk Sana  Sen Deli M'oldun A Ellerin Yari Aman Nerelerine De İşte Şuralarına
A Kızım Sana Potin Alayım Mı,Antalya,Antalya/Elmalı-Mehmet Görgülü-Cevat Uyanık,(Erkekler) A Kızım Sana Potin Alayım Mı (Kadınlar) Al Babacığım Al Potinimi Alayım Ayağıma Giyeyim Ben Ablama Gideyim Şura Şuralarıma Bura Buralarıma İlle De Şuralara Hoş Yakışır (Erkekler) A Kızım Sana Küpe Alayım Mı (Kadınlar) Al Babacığım Al Ben Küpemi Alayım Kulağıma Takayım Ben Yengeme Gideyim Şura Şuralarıma Bura Buralarıma İlle De Şuralara Hoş Yakışır (Erkekler) A Kızım Sana Yüzük Alayım Mı (Kadınlar) Al Babacığım Al Ben Yüzüğümü Alayım Parmağıma Takayım Nişanlıma Gideyim Şura Şuralarıma Bura Buralarıma İlle De Şuralara Hoş Yakışır
A Sevdiğim Pir Misin,Manisa,Manisa/Soma/Tarhala Köyü-Yöre Ekibi-Nihat Kaya-S.Özdemir-M.Yazıcıoğlu,A Sevdiğim Pir Misin Şu Yerlerde Bir Misin Geceler Onbeş Saat Gel Desem Gelir Misin  Gel Yanıma Yanıma  Salında Gel Gir Koluma  Öyle Yarim Öyledir  Şimdi Zaman Böyledir Şu Karşıki Haneyler Yıkılsın Meyhaneler Acep Şehit Olur Mu Yar Yoluna Ölenler  Gel Yanıma Yanıma  Salında Gel Gir Koluma  Öyle Yarim Öyledir  Şimdi Zaman Böyledir
A Sevdiğim Yakın Gel (Tara Leyli),Uşak,Uşak/Eskisaray Köyü-Cemal Ünlü-Mehmet Karadedeli,A Sevdiğim Yakın Gel Sünbülleri Takın Gel Hasretinden Yanıyom Feslikanlar Sokun Gel    Tara Leyli Tara Leyli    Aldın M’Ola Mendili    Yar Yanına Geliyom   Söndür Gali Gandili  Arpa Ektim Düzlere  Diken Oldum Gözlere Mevlam Sabırlar Versin Sevdalık Çekenlere    Tara Leyli Tara Leyli    Aldın M’Ola Mendili    Yar Yanına Geliyom   Söndür Gali Gandili  Ekin Eler Kalburda Neler Vardır Sabırda Ben Nasıl Ah Çekmiyem  Yar Orada Ben Burda   Tara Leyli Tara Leyli    Aldın M’Ola Mendili    Yar Yanına Geliyom   Söndür Gali Gandili
A İstanbul Sen Bir Han Mısın,Kütahya,Kütahya-Hisarlı Ahmet-Mustafa Hisarlı,A İstanbul (Beyim Aman) Sen Bir Han Mısın  Varan Yiğitleri (De Beyler Aman) Yudan Sen Misin  Gelinleri Yarsız Goyan (Bi Danem) Sen Misin Gidip De Gelmeyen (De Beyler Aman) Yari Ben Neyleyim  Vakitsiz Açılan (Da Beyler Aman) Gülü Ben Neyleyim  A İstanbul (Beyim Aman) Issız Kalası  Taşına Toprağına (Da Beyler Aman) Güller Dolası  O Da Bencileyin (Aman) Yarsız Galası Gidip De Gelmeyen (De Beyler Aman) Yari Ben Neyleyim  Vakitsiz Açılan (Da Beyler Aman) Gülü Ben Neyleyim
Aba Da Bir Kebe De Bir Giyene,Çorum,Çorum-Sabite Taşkaya-İfakat Yaykar-Muzaffer Sarısözen,Aba Da Bir Kebe De Bir Giyene (Aman Aman Giyene) Güzel De Bir Çirkin De Bir Sevene (Hey Hey)  Yeşilim Aman Aman Üsüdüm Aman Aman  Ayağında Meslim Kunduralım Hey  Yönünde Bu Tarafa Döndürelim Hey Damdan Dama Uzatırlar Sırığı (Aman Aman Sırığı) Üzüm Diye Kopartırlar Koruğu (Hey Hey)  Yeşilim Aman Aman Üsüdüm Aman Aman  Ayağında Meslim Kunduralım Hey  Yönünde Bu Tarafa Döndürelim Hey
